iter	Passed	Remaining
0	6	6761
1	13	6598
2	19	6550
3	25	6458
4	32	6426
5	38	6399
6	44	6381
7	51	6363
8	57	6356
9	64	6350
10	70	6357
11	76	6331
12	83	6313
13	89	6296
14	95	6295
15	102	6278
16	108	6270
17	114	6265
18	121	6260
19	127	6255
20	133	6245
21	140	6239
22	146	6231
23	152	6218
24	159	6215
25	165	6212
26	172	6207
27	178	6200
28	184	6192
29	191	6187
30	197	6180
31	204	6179
32	210	6173
33	216	6165
34	223	6159
35	229	6149
36	235	6142
37	242	6135
38	248	6128
39	255	6123
40	261	6115
41	267	6108
42	274	6101
43	280	6089
44	286	6083
45	293	6078
46	299	6072
47	305	6066
48	312	6060
49	318	6053
50	324	6045
51	331	6041
52	337	6035
53	344	6027
54	350	6019
55	356	6012
56	363	6006
57	369	5999
58	375	5992
59	382	5985
60	388	5979
61	394	5971
62	401	5967
63	407	5960
64	413	5955
65	420	5948
66	426	5940
67	432	5934
68	439	5927
69	445	5921
70	451	5913
71	458	5907
72	464	5900
73	471	5897
74	477	5889
75	483	5881
76	490	5875
77	496	5867
78	502	5859
79	509	5853
80	515	5846
81	521	5839
82	527	5832
83	534	5825
84	540	5819
85	546	5811
86	553	5804
87	559	5797
88	565	5791
89	572	5784
90	578	5776
91	584	5769
92	590	5763
93	597	5756
94	603	5750
95	609	5743
96	616	5737
97	622	5730
98	628	5723
99	635	5717
100	641	5709
101	647	5701
102	654	5695
103	660	5689
104	666	5683
105	673	5676
106	679	5669
107	685	5663
108	692	5657
109	698	5650
110	704	5643
111	710	5636
112	717	5629
113	723	5622
114	729	5615
115	736	5609
116	742	5602
117	748	5596
118	754	5588
119	761	5581
120	767	5575
121	773	5568
122	780	5561
123	786	5555
124	792	5549
125	799	5543
126	805	5535
127	811	5528
128	817	5520
129	823	5514
130	830	5507
131	836	5500
132	842	5493
133	848	5486
134	855	5480
135	861	5473
136	867	5466
137	873	5457
138	879	5450
139	886	5442
140	892	5434
141	898	5426
142	904	5419
143	910	5412
144	916	5406
145	923	5399
146	929	5392
147	935	5385
148	941	5377
149	947	5371
150	954	5365
151	960	5358
152	967	5353
153	973	5345
154	979	5339
155	985	5332
156	992	5326
157	998	5320
158	1004	5310
159	1010	5305
160	1016	5298
161	1022	5291
162	1029	5285
163	1035	5276
164	1040	5264
165	1045	5253
166	1050	5242
167	1056	5231
168	1062	5223
169	1068	5215
170	1074	5207
171	1079	5198
172	1085	5188
173	1091	5180
174	1096	5171
175	1103	5165
176	1109	5159
177	1115	5152
178	1122	5147
179	1128	5140
180	1134	5133
181	1140	5127
182	1146	5120
183	1153	5115
184	1159	5109
185	1165	5102
186	1172	5097
187	1178	5091
188	1184	5084
189	1191	5079
190	1197	5072
191	1204	5067
192	1210	5061
193	1216	5054
194	1223	5048
195	1229	5042
196	1235	5036
197	1241	5029
198	1248	5023
199	1254	5017
200	1260	5011
201	1266	5004
202	1273	4998
203	1279	4992
204	1285	4986
205	1291	4979
206	1298	4973
207	1304	4967
208	1310	4960
209	1317	4955
210	1323	4948
211	1329	4942
212	1335	4936
213	1342	4929
214	1348	4922
215	1355	4918
216	1361	4912
217	1367	4906
218	1373	4899
219	1380	4893
220	1386	4887
221	1392	4880
222	1399	4874
223	1405	4868
224	1411	4862
225	1417	4856
226	1424	4849
227	1430	4844
228	1437	4838
229	1443	4832
230	1449	4826
231	1456	4820
232	1462	4812
233	1468	4806
234	1474	4800
235	1480	4794
236	1487	4788
237	1493	4782
238	1499	4775
239	1506	4769
240	1512	4763
241	1518	4757
242	1524	4750
243	1531	4744
244	1537	4738
245	1543	4732
246	1550	4726
247	1556	4719
248	1562	4713
249	1568	4706
250	1575	4700
251	1581	4694
252	1587	4688
253	1594	4681
254	1600	4676
255	1606	4669
256	1613	4663
257	1619	4657
258	1625	4651
259	1632	4645
260	1638	4638
261	1644	4632
262	1650	4626
263	1657	4620
264	1663	4613
265	1669	4607
266	1675	4600
267	1682	4594
268	1688	4588
269	1694	4582
270	1701	4575
271	1707	4569
272	1713	4563
273	1719	4557
274	1726	4550
275	1732	4544
276	1738	4538
277	1744	4531
278	1751	4525
279	1757	4518
280	1763	4512
281	1769	4506
282	1776	4499
283	1782	4493
284	1788	4487
285	1794	4481
286	1801	4474
287	1807	4467
288	1813	4461
289	1819	4455
290	1826	4449
291	1832	4442
292	1838	4435
293	1844	4429
294	1850	4423
295	1857	4417
296	1863	4410
297	1869	4404
298	1876	4398
299	1882	4392
300	1888	4385
301	1894	4379
302	1901	4373
303	1907	4366
304	1913	4360
305	1919	4354
306	1926	4347
307	1932	4341
308	1938	4335
309	1944	4329
310	1951	4322
311	1957	4316
312	1964	4311
313	1970	4304
314	1976	4298
315	1983	4292
316	1989	4286
317	1995	4280
318	2001	4273
319	2008	4267
320	2014	4261
321	2020	4255
322	2027	4248
323	2033	4242
324	2039	4236
325	2045	4230
326	2052	4223
327	2058	4217
328	2064	4211
329	2071	4205
330	2077	4198
331	2083	4192
332	2090	4186
333	2096	4180
334	2102	4174
335	2109	4168
336	2115	4161
337	2121	4155
338	2128	4149
339	2134	4143
340	2140	4136
341	2147	4130
342	2153	4124
343	2159	4118
344	2165	4112
345	2172	4106
346	2178	4099
347	2184	4093
348	2191	4087
349	2197	4081
350	2203	4074
351	2210	4068
352	2216	4062
353	2222	4055
354	2228	4049
355	2235	4043
356	2241	4036
357	2247	4030
358	2253	4024
359	2260	4017
360	2266	4011
361	2272	4005
362	2278	3998
363	2284	3992
364	2291	3985
365	2297	3979
366	2303	3973
367	2310	3967
368	2316	3961
369	2322	3954
370	2328	3947
371	2334	3941
372	2340	3934
373	2346	3928
374	2353	3921
375	2359	3915
376	2365	3909
377	2371	3903
378	2378	3896
379	2384	3890
380	2390	3883
381	2396	3877
382	2403	3871
383	2409	3865
384	2415	3858
385	2421	3852
386	2428	3846
387	2434	3839
388	2440	3833
389	2446	3826
390	2453	3820
391	2459	3814
392	2465	3808
393	2471	3801
394	2478	3795
395	2484	3789
396	2490	3782
397	2496	3776
398	2502	3769
399	2508	3763
400	2515	3757
401	2521	3751
402	2527	3744
403	2534	3738
404	2540	3732
405	2546	3725
406	2552	3719
407	2559	3713
408	2565	3707
409	2572	3701
410	2578	3694
411	2584	3688
412	2590	3682
413	2596	3675
414	2603	3669
415	2609	3663
416	2615	3657
417	2621	3650
418	2628	3644
419	2634	3638
420	2640	3631
421	2647	3625
422	2653	3619
423	2659	3612
424	2665	3606
425	2671	3599
426	2677	3592
